Timestamp,BTC,UNI,XMR,VET,USDT,BNB,ETH,MATIC,DOT,DOGE,XRP,SAND,SUSHI
14-05-2022,71541.69692439926,176.47988151784236,154.40906238232336,356.0928742458109,75813.49955586332,2677.4550454571827,23979.529161232746,865.4649603947297,1485.1016699979768,1164.59218251697,20446.9599104838,821.387563335985,232.87250561682433
15-05-2022,25759.546763688617,153.55776347419427,131.1327505189499,274.1228062420099,54179.10873314907,1555.815081067778,14395.772634811949,568.6031507236119,1032.8864236067918,669.7639015580362,3004.143500290736,759.123956069903,157.8266134169366
16-05-2022,22948.12370417267,141.91247789259572,164.77873910442335,206.4901388903306,48374.79202886813,1727.8055391303712,14395.455889043333,459.8565418717603,737.1420464429593,523.8509172153836,2107.871027003569,391.21439223093955,108.49848060282021
17-05-2022,28418.179221125334,141.2092990171937,160.38831945727404,217.07092260573825,58842.890813476,1684.110716251434,20068.743681952048,525.6390507279157,679.0483850595917,542.8943767900797,2480.1764316243025,314.8195826540992,104.26490802343193
18-05-2022,24964.70322357502,145.86980769043342,151.1286050493956,180.99964133014953,48961.06170336771,1584.146318300808,17005.002529405003,571.4464829025509,589.3275124078905,534.2080596922679,2261.832657618025,263.9396188605849,133.5752182440719
19-05-2022,26219.43116524182,126.66641253239416,130.28470607157297,167.65583864059332,47953.13780273315,1487.6847383119953,15892.119501206236,466.9573555967588,664.9940469796052,440.6193701333325,2023.40767591126,275.33929736889064,97.00169559976156
20-05-2022,29190.056577430663,136.71978305882595,145.3282554570439,194.27061440448404,51671.11589979257,1444.1862021248185,17828.306698714794,525.5685439346489,664.760747256002,498.19265968762585,2149.7852351761376,378.02347237855855,110.92486146068896
21-05-2022,25980.877919568087,146.06562623914576,217.9094766454436,176.45917565509015,47031.19364586664,1752.1200307295442,14638.100162773735,379.5787564770032,474.1182522812381,404.78003695007163,2246.7306088392916,395.2872008637181,85.44430209020294
22-05-2022,13561.006428368963,103.4379750501693,137.2875091070553,137.15807115069796,29398.599782780868,1312.2606453703418,7551.508571492984,247.6348453733054,281.87413758772743,255.27802895808344,1374.886935528266,231.11745469569027,86.28997168589002
23-05-2022,17199.93015480102,109.06271826581852,124.48555310197779,177.89751736144768,33846.70161460104,1764.07409306145,9623.17452773804,289.040355838424,350.96743647877895,361.0980762145224,1421.1213189561877,313.2288430506289,94.60177835747142
24-05-2022,26646.75432471057,184.248874317606,253.76426260710338,251.10060086194568,48656.26821031229,2205.3187187189587,14627.31115792938,437.05665281233837,666.6194866452429,455.1724463073571,1813.039685088817,382.229501216229,199.9974226148077
25-05-2022,23486.436836560508,165.67509831074483,197.6730074247241,187.0395059659048,42574.39154736637,2193.7901757620343,12880.481567942186,425.16129161285596,446.6444940847582,348.9460280136624,1706.9803886999453,262.64880738134985,183.93624128679886
26-05-2022,23108.764916206597,141.05219562278108,224.7065741573706,193.13295766515313,41044.607104102906,2048.5221778231903,12554.611854439223,355.95126155142157,401.05879122592467,340.0990566201669,2015.8437642379486,469.3067905501142,179.1068575773519
27-05-2022,31972.044691709656,175.34801558136056,210.422377918817,251.79392226084067,58941.772868091684,2808.2821944732705,22669.347246961388,559.3245258005664,676.4962240061575,549.1910291169037,2485.081450728108,957.3029236545223,155.1843273192698
28-05-2022,31756.305901005537,181.37427408139843,182.9219981534424,236.89010005481944,59487.875388236076,2660.229690809859,24344.53594891357,502.3146017585278,895.0690852552017,1037.5459583133697,2324.419767860538,485.16025034664244,145.71092634286072
29-05-2022,15406.515372711676,102.21039818530161,112.10122501045379,145.60781027917227,32984.79777058989,1358.4885219324367,12004.308559066863,269.13065643375785,384.3806326241109,409.23581475087275,1163.5799678643862,242.55057242286318,92.84177573016753
30-05-2022,14496.111397934435,92.44451651259902,135.66188656856124,129.66164308259803,25621.699607250383,1027.383625450085,9767.849361351788,244.8725189790394,362.4255957607218,299.56355125899006,947.6449802610089,196.6705233842737,82.3120922870279
31-05-2022,34891.305294623,150.48545908361638,229.41195945539923,197.49415738983808,57255.328109997325,1711.355389025887,18803.01695009315,416.0500965101413,522.5961828848118,578.3460290502081,1445.550917889458,393.410267494201,116.10384279361155
01-06-2022,29770.567353488135,143.07929972859225,230.62426472850967,253.83495623751725,49972.01653931704,1758.873055136742,17409.07601107384,475.8911350627267,537.5253669990508,617.94208481842,1735.3575295898668,505.3921846139798,230.3414266557373
02-06-2022,35553.330791535656,138.34296554125817,196.88139281067197,216.069681034407,54691.364502289034,1797.0668006735596,19904.83172600975,426.4074841471347,582.9147584441549,721.6947834081319,1522.3491741251605,336.27316006839214,178.89877602828548
03-06-2022,24232.399986261145,110.77495514161677,159.7688910372915,154.8574910901579,36976.44403334675,1137.0585185689042,16444.980823786707,336.8025267264602,428.34629965681296,379.73480964686115,1302.6783757464875,220.47826297088477,125.82772296796215
04-06-2022,21997.85959066833,88.55785055571747,135.62613577916204,131.71790091547348,32247.51160647027,1039.5011098270313,15012.416794069233,259.20684381646714,344.5773331850279,341.181329003519,1275.8949445520407,195.3569734314309,90.98630859594252
05-06-2022,12911.383481843808,80.43327665345566,77.11834350884652,107.94797495398727,20408.536351025272,802.3910516250656,8295.91240290654,170.9806022250356,229.5544771705427,283.62229833735,683.4471465940696,150.55940333027064,88.92913759824336
06-06-2022,13395.229055412352,79.83616800690592,97.33083058917886,105.03301481659565,20339.048017316334,699.650522173192,8385.254999857007,179.27624060877693,200.1161893231888,250.85898344583407,705.3912739767989,128.33839021190713,72.74218838623626
07-06-2022,27644.798123298184,109.53429027984285,115.5385704897676,158.50288647239253,38813.14470948214,1554.3882723716736,16623.006597793545,356.46681670319373,353.03822304368776,462.664806183012,1246.532475320551,254.6325953676474,102.10443289347216
08-06-2022,36111.32550804181,143.87795166164537,119.18262932453722,164.62940344623001,52407.1692657973,1918.2056582404757,23647.547692445885,317.98534587844375,360.6352125797018,444.52689175021794,1656.469090686715,238.7165457375237,103.78155405077798
09-06-2022,27080.284928564884,111.65541675302458,91.05745587093121,119.75125062454204,40758.288442055185,1035.85184861637,17712.874976607396,288.84612808268486,272.54574063175954,301.5219793944956,1189.9016984859857,160.96301055546633,71.03656451792403
